Minions,5,10,15,20,25,30,45,60
13,0.74,0.65,0.57,0.51,0.45,0.39,0.27,0.19
14,0.41,0.28,0.19,0.13,0.09,0.06,0.02,0.01
15,0.22,0.12,0.06,0.03,0.02,0.01,0,0
16,0.11,0.05,0.02,0.01,0,0,0,0
17,0.05,0.02,0.01,0,0,0,0,NaN
18,0.03,0.01,0,0,0,0,NaN,NaN
19,0.01,0,0,0,0,0,NaN,NaN
20,0.01,0,0,0,0,NaN,NaN,NaN
21,0,0,0,0,NaN,NaN,NaN,NaN
22,0,0,0,NaN,NaN,NaN,NaN,NaN
23,0,0,0,NaN,NaN,NaN,NaN,NaN
